"Ranking Result:
",,,,,
"
Gallo Blanco,#NAME?,"401 W Clarendon Ave,Phoenix, AZ 85013",4,731,"Bars,Cafes,Nightlife,Restaurants"
Matt's Big Breakfast,ntN85eu27C04nwyPa8IHtw,"801 N 1st St,Phoenix, AZ 85004",4,724,"Breakfast & Brunch,Restaurants"
Joe's Farm Grill,QnAzW6KMSciUcuJ20oI3Bw,"3000 E Ray Rd,Bldg 1,Gilbert, AZ 85296",4,678,"American (Traditional),Restaurants"
St Francis Restaurant,uKSX1n1RoAzGq4bV8GPHVg,"111 E Camelback Rd,Phoenix, AZ 85012",4,668,"American (New),Restaurants"
"
",,,,,
"w/o H
",,,,,
Taco Nazo,3uKAHQr19vFUfBJuXdmhEA,"1405 W Southern Ave,Tempe, AZ 85282",3,30,"Mexican,Restaurants"
Taco Bell,lEpLxSA35gbmV6VwJ64wVw,"7233 S. 51st Avenue,Laveen, AZ 85339",3,7,"Fast Food,Mexican,Tex-Mex,Restaurants"
Taylor's Cafe,UxvOXcoCRFRAVhRB0D9imw,"5053 N 44th St,Phoenix, AZ 85018",3.5,76,"Breakfast & Brunch,Restaurants"
Giant Coffee,CdqTxe171tKTOkk8T15GGA,"1437 N 1st St,Phoenix, AZ 85004",4,173,"Food,Coffee & Tea"
Dos Gringos,RqbSeoeqXTwts5pfhw7nJg,"1361 N Alma School Rd,Chandler, AZ 85224",3.5,48,"Bars,Mexican,Nightlife,Restaurants"
Tortas Ahogadas Guadalajara,jDyn5GnMiWllhB7qDpzltw,"518 N Arizona Ave,Chandler, AZ 85225",4.5,23,"Mexican,Restaurants"
Valle Luna,E3RjJH45EX6rHYDs0TYSRA,"3336 W Bell Rd,Phoenix, AZ 85053",3.5,130,"Mexican,Restaurants"
Chipotle Mexican Grill,UCjtaUCtJPbTUouHtQURvQ,"15425 N Scottsdale Rd,Scottsdale, AZ 85254",3.5,45,"Tex-Mex,Restaurants"
La Barquita,xdv2kvaZodkWvTSV6pSSpA,"2334 E McDowell Rd,Phoenix, AZ 85006",4,41,"Mexican,Restaurants"
Juan Jaime's,ObYf1kZVWfL8NocxUwGJKg,"2510 W Chandler Blvd,Ste 1,Chandler, AZ 85224",3.5,86,"Mexican,Restaurants"
"
",,,,,
"thai peanut noodle
",,,,,
Four Peaks Brewing Co,JokKtdXU7zXHcr20Lrk29A,"1340 E 8th St,Ste 104,Tempe, AZ 85281",4.5,956,"Bars,Food,Breweries,Pubs,Nightlife,American (New),Restaurants"
Green,c1yGkETheht_1vjda7G5sA,"2240 N Scottsdale Rd,Tempe, AZ 85281",4.5,599,"Vegetarian,Vegan,Restaurants"
FEZ,EWMwV5V9BxNs_U6nNVMeqw,"3815 N Central Ave,Phoenix, AZ 85012",4,911,"Bars,Mediterranean,Nightlife,Lounges,American (New),Restaurants"
Joe's Farm Grill,QnAzW6KMSciUcuJ20oI3Bw,"3000 E Ray Rd,Bldg 1,Gilbert, AZ 85296",4,678,"American (Traditional),Restaurants"
Hula's Modern Tiki,_FXql6eVhbM923RdCi94SA,"4700 N Central Ave,Phoenix, AZ 85012",4,595,"Seafood,Caribbean,Hawaiian,Restaurants"
True Food Kitchen,qjmCVYkwP-HDa35jwYucbQ,"2502 E Camelback Rd,Phoenix, AZ 85016",4,560,"Vegetarian,American (New),Salad,Restaurants"
FnB,IuAPYzf3NSyfyXYgT46YVA,"7125 E 5th Ave,Ste 31,Scottsdale, AZ 85251",4.5,269,"Gastropubs,American (New),Restaurants"
Cherryblossom Noodle Cafe,AkOruz5CrCxUmXe1p_WoRg,"914 E Camelback Rd,Phoenix, AZ 85014",4,435,"Asian Fusion,Italian,Japanese,Restaurants"
Cowboy Ciao,FV0BkoGOd3Yu_eJnXY15ZA,"7133 E Stetson Dr,Ste 1,Scottsdale, AZ 85251",4,430,"American (New),Restaurants"
Green New American Vegetarian,0dORc6ckZw5HezR3BuSsqw,"2022 N 7th St,Phoenix, AZ 85004",4.5,212,"Vegetarian,Vegan,Restaurants"
"
",,,,,
"w/o H
",,,,,
Sala Thai,WPmamMTGAmNYXGoXW1mWyQ,"10880 N 32nd St,Ste 29,Phoenix, AZ 85028",4,122,"Thai,Restaurants"
Mango Thai,joxWCp6dgN-kTE9GMziwjA,"1440 S Country Club Dr,Ste 10,Mesa, AZ 85210",3,31,"Thai,Restaurants"
Thai Rama,1621ir5mjVgbHwxCbMAEjg,"927 E University Dr,Tempe, AZ 85281",3,67,"Thai,Restaurants"
Gourmet House of Hong Kong,ykfTh6HI219NoMsWBxulxw,"1438 E McDowell Rd,Phoenix, AZ 85006",3.5,75,"Chinese,Restaurants"
Bootleggers Modern American Smokehouse,uMxfxbqT27XDeU9UTXeErg,"3375 E Shea Blvd,Phoenix, AZ 85028",4,122,"Bars,American (Traditional),Nightlife,Barbeque,Restaurants"
Thai Gourmet,3rqoxOasrRKxNubxjLSElA,"10575 W Indian School Rd,Ste 101,Avondale, AZ 85392",4.5,23,"Thai,Restaurants"
Thai Patio,wzuIHNOJrxSwfhKt-wV1TA,"1929 N Power Rd,Mesa, AZ 85207",4,45,"Thai,Restaurants"
Siamese Kitchen,XguGFMUSEMz4wx_2G-otyA,"4352 W Olive Ave,Glendale, AZ 85302",4,42,"Thai,Restaurants"
Fate 905,VsO_rhXi5lgbaGxNwoEZsQ,"905 N 4th St,Phoenix, AZ 85004",3,90,"Asian Fusion,Chinese,Restaurants"
Caf̩ Monarch,L-uPZxooP_ziXCtRrWi8Pw,"6934 E 1st Ave,Scottsdale, AZ 85251",4.5,206,"American (New),Restaurants"
"
",,,,,
"Phrase With H:
",,,,,
"""Chinese Food""
",,,,,
Chino Bandido,Zx8_4zKdDBSO3qGrkukBIA,"15414 N 19th Ave,Ste K,Phoenix, AZ 85023",4,582,"Szechuan,Asian Fusion,Mexican,Chinese,Restaurants"
China Magic Noodle House,jfDBaBgwINrGYAo8p2MJ4g,"2015 N Dobson Rd,Chandler, AZ 85224",4,208,"Chinese,Restaurants"
Chino Bandido,Lnohr9bpCbHNsomazXDg-w,"1825 W Chandler Blvd,Chandler, AZ 85224",3.5,281,"Asian Fusion,Mexican,Chinese,Restaurants"
Jasmine Tokyo,1sNa5oW9ZYX8MbMFkx9LzQ,"7000 E Shea Blvd,Scottsdale, AZ 85254",4,134,"Bars,Asian Fusion,Buffets,Nightlife,Restaurants"
Dilly's Deli,bF7KQ6AQK5rBS7aOFKtlWg,"3330 S Price Rd,Ste 101,Tempe, AZ 85282",4.5,66,"Delis,Sandwiches,Salad,Restaurants"
Big Buddha,mjoxSQR7bFQtlIIjfNfaSQ,"16572 W Greenway Rd,Ste 115,Surprise, AZ 85388",4,104,"Chinese,Restaurants"
Great Wall Cuisine,0db71MbrvcJnyk71COCJBg,"5057 N 35th Ave,Phoenix, AZ 85017",3.5,156,"Dim Sum,Chinese,Restaurants"
Noodle & Rice,JPRyCrWPIo_ujOszH1NRzg,"2017 E Cactus Rd,Ste G,Phoenix, AZ 85022",4,80,"Thai,Chinese,Restaurants"
Thai Hut,oJpmYvLibGrYPDvcaUeMOw,"101 E McDowell Rd,Phoenix, AZ 85004",3.5,149,"Thai,Restaurants"
Miu's Cuisine,Az_IY3TgnOcnh1dXd7GZLg,"2314 E Apache Blvd,Tempe, AZ 85281",4,75,"Chinese,Restaurants"
"
",,,,,
"w/o H
",,,,,
Pick Up Stix,T_d9GB_p0ajNTVEZ2CMmrw,"4030 W Ray Rd,Chandler, AZ 85226",3,4,"Chinese,Restaurants"
China Inn,4l3eeM1sOACwdJAz4UyIPQ,"3 S 2nd St,Phoenix, AZ 85004",2,3,"Chinese,Restaurants"
Pacific Seafood Buffet,KpCKaIDZ1m4bQj2ur3olfg,"3110 N Arizona Ave,Chandler, AZ 85225",3.5,114,"Buffets,Restaurants"
Best Hong Kong Dining,8TGUK7LD3M-vLWml-jLb0w,"1116 S Dobson Rd,Ste 123,Mesa, AZ 85202",3.5,49,"Chinese,Restaurants"
Hunan Garden,VDLQNhp695jcwTvMFi8W5g,"1940 W Chandler Blvd,Ste 1,Chandler, AZ 85224",4,3,"Chinese,Restaurants"
A A Wok,cuxqnMMmbBV0iE2KJJy60Q,"3202 E Greenway Rd,Ste 1289,Phoenix, AZ 85032",3.5,4,"Chinese,Restaurants"
George and Sons,m2M7X5ItFvhOC7a6B7JcDg,"3049 W Agua Fria Fwy,Phoenix, AZ 85027",4.5,30,"Asian Fusion,Restaurants"
Grand Buffet,u2hGxSbpIOZZ3KliIELuTQ,"2430 W Apache Trl,Apache Junction, AZ 85220",2.5,6,"Chinese,Restaurants"
The Wok Express,AYAb0qJX5wuT2sRtz4CjpA,"4835 E Greenway Rd,Phoenix, AZ 85034",4,18,"Chinese,Restaurants"
Lily Bowl Chinese Bistro,B-WxQYb3A9SKyGm2aqk9tg,"785 W Warner Rd,A# 103,Gilbert, AZ 85233",2.5,4,"Chinese,Restaurants"
"
",,,,,
"""good chinese food"" 
",,,,,
China Magic Noodle House,jfDBaBgwINrGYAo8p2MJ4g,"2015 N Dobson Rd,Chandler, AZ 85224",4,208,"Chinese,Restaurants"
Tao Garden,hrOsdyai-9B91cGjBspHqw,"2050 N Alma School Rd,Chandler, AZ 85224",4,54,"Chinese,Restaurants"
The Prime Chinese Restaurant,1vYaGPKQzMebBJXFCGTH2g,"24 W Camelback Rd,Ste H,Phoenix, AZ 85013",4,50,"Chinese,Restaurants"
Wahsun Chinese Restaurant,dxAlupwjiQH91m4cE9a17g,"8056 N 19th Ave,Phoenix, AZ 85021",3.5,53,"Chinese,Restaurants"
J & M Chinese Cuisine Restaurant,xhwp_bACX0017Qxu8_AVbw,"1035 N Ellsworth Rd,Mesa, AZ 85207",4,24,"Chinese,Restaurants"
Buster's On the Lake,UVBPF4oYrb0QfgW_DMbLPg,"8320 N Hayden Rd,Ste 100,Scottsdale, AZ 85258",3.5,37,"Seafood,American (Traditional),Restaurants"
Little Shanghai,BicQSnGZnY_yuGEDkhVfnA,"4017 E Indian School Rd,Phoenix, AZ 85018",3.5,31,"Chinese,Restaurants"
The Wok Express,AYAb0qJX5wuT2sRtz4CjpA,"4835 E Greenway Rd,Phoenix, AZ 85034",4,18,"Chinese,Restaurants"
Bashas',kOK86MUuK-VWfJEYuvHUnQ,"1920 W Chandler Boulevard,Chandler, AZ 85224",3.5,14,"Food,Grocery"
Rice Garden,08eBj_o6oTncJR0ylM8qSg,"8053 E Indian School Rd,Scottsdale, AZ 85251",4,9,"Chinese,Restaurants"
"
",,,,,
"w/o H
",,,,,
Buster's On the Lake,UVBPF4oYrb0QfgW_DMbLPg,"8320 N Hayden Rd,Ste 100,Scottsdale, AZ 85258",3.5,37,"Seafood,American (Traditional),Restaurants"
Rice Garden,08eBj_o6oTncJR0ylM8qSg,"8053 E Indian School Rd,Scottsdale, AZ 85251",4,9,"Chinese,Restaurants"
Bashas',kOK86MUuK-VWfJEYuvHUnQ,"1920 W Chandler Boulevard,Chandler, AZ 85224",3.5,14,"Food,Grocery"
The Prime Chinese Restaurant,1vYaGPKQzMebBJXFCGTH2g,"24 W Camelback Rd,Ste H,Phoenix, AZ 85013",4,50,"Chinese,Restaurants"
Little Shanghai,BicQSnGZnY_yuGEDkhVfnA,"4017 E Indian School Rd,Phoenix, AZ 85018",3.5,31,"Chinese,Restaurants"
Davang Coffee Shop,peEtKzZhsQrQgBcrEXyBPQ,"4538 N 19th Ave,Phoenix, AZ 85015",4.5,7,"Food,Coffee & Tea"
Jade Palace,jpgmMTN__BHg_lnJEUjM-g,"8120 N Hayden Rd,Scottsdale, AZ 85258",4.5,7,"Chinese,Restaurants"
Wahsun Chinese Restaurant,dxAlupwjiQH91m4cE9a17g,"8056 N 19th Ave,Phoenix, AZ 85021",3.5,53,"Chinese,Restaurants"
J & M Chinese Cuisine Restaurant,xhwp_bACX0017Qxu8_AVbw,"1035 N Ellsworth Rd,Mesa, AZ 85207",4,24,"Chinese,Restaurants"
Tao Garden,hrOsdyai-9B91cGjBspHqw,"2050 N Alma School Rd,Chandler, AZ 85224",4,54,"Chinese,Restaurants"
"
",,,,,
"""nice wine bar""
",,,,,
Oregano's Pizza Bistro,LMG0zsAkUSscIvmV9vvm3A,"7215 E Shea Blvd,Scottsdale, AZ 85260",4,212,"Pizza,Restaurants"
VinciTorio's Restaurant,MPyxaNVuWlAQqJ0iKV5rQw,"1835 E Elliot Rd,Ste C109,Tempe, AZ 85284",4,144,"Restaurants,Buffets,Italian"
Firebirds Wood Fired Grill,8dEJ_o0UgGrNX1ejHcuZjA,"16067 N Arrowhead Fountains Center Dr,Peoria, AZ 85382",4,90,"Steakhouses,American (Traditional),Restaurants"
Elite Event: Screw Your Resolutions at Salty Sow,mchiTm_e8xRXPf2SWMJbkQ,"Salty Sow,4801 E Cactus Rd,Scottsdale, AZ 85254",5,19,"Yelp Events,Local Flavor"
Las Fuentes Mexican Grill,H92SaE8QEFyQHjwYEcCCCw,"13621 N Litchfield Rd,Surprise, AZ 85374",3.5,61,"Mexican,Restaurants"
Teatro Pizzeria and Wine Bar,lrxoQH8u2X-XpQ38PLAgTQ,"32409 N Scottsdale Rd,Scottsdale, AZ 85266",4,28,"Restaurants,Pizza,Italian"
Wine Warehouse,DiDZqjm_ti1Kim-5BhHPfA,"17025 N Scottsdale Rd,Ste 140,Scottsdale, AZ 85255",5,11,"Food,Beer, Wine & Spirits"
Fresh & Easy Neighborhood Market,s0Xpzb2GzBILFAKMpAtspQ,"1537 S. Higley Rd,Gilbert, AZ 85296",4,16,"Food,Bakeries,Grocery,Convenience Stores"
Bar Maximus,4MZBPKr4Kmw_5hiElostjw,"214 W Roosevelt St,Phoenix, AZ 85003",3.5,19,"Bars,Food,Beer, Wine & Spirits,Wine Bars,Nightlife,Gastropubs,Restaurants"
Raimondo's,MEraJIKYztC7IOzYwMe86g,"502 W Camelback,Phoenix, AZ 85013",3.5,16,"Restaurants,Pizza,Italian"
"
",,,,,
"w/o H
",,,,,
Wine Warehouse,DiDZqjm_ti1Kim-5BhHPfA,"17025 N Scottsdale Rd,Ste 140,Scottsdale, AZ 85255",5,11,"Food,Beer, Wine & Spirits"
Fresh & Easy Neighborhood Market,s0Xpzb2GzBILFAKMpAtspQ,"1537 S. Higley Rd,Gilbert, AZ 85296",4,16,"Food,Bakeries,Grocery,Convenience Stores"
Hyatt Place Tempe/Phoenix Airport,OECFqFDCDuqF8qWngIEJeA,"1413 W Rio Salado Pkwy,Tempe, AZ 85281",3.5,15,"Hotels & Travel,Event Planning & Services,Hotels"
Banzai Cowboy Sushi & Martini Bar,xxYiSZgmwE-9-quy8kkHEQ,"20715 N Pima Rd,Ste 110,Scottsdale, AZ 85255",3.5,7,"Bars,Sushi Bars,Japanese,Nightlife,Lounges,Restaurants"
Teatro Pizzeria and Wine Bar,lrxoQH8u2X-XpQ38PLAgTQ,"32409 N Scottsdale Rd,Scottsdale, AZ 85266",4,28,"Restaurants,Pizza,Italian"
Elite Event: Screw Your Resolutions at Salty Sow,mchiTm_e8xRXPf2SWMJbkQ,"Salty Sow,4801 E Cactus Rd,Scottsdale, AZ 85254",5,19,"Yelp Events,Local Flavor"
Raimondo's,MEraJIKYztC7IOzYwMe86g,"502 W Camelback,Phoenix, AZ 85013",3.5,16,"Restaurants,Pizza,Italian"
Bar Maximus,4MZBPKr4Kmw_5hiElostjw,"214 W Roosevelt St,Phoenix, AZ 85003",3.5,19,"Bars,Food,Beer, Wine & Spirits,Wine Bars,Nightlife,Gastropubs,Restaurants"
VinciTorio's Restaurant,MPyxaNVuWlAQqJ0iKV5rQw,"1835 E Elliot Rd,Ste C109,Tempe, AZ 85284",4,144,"Restaurants,Buffets,Italian"
Oregano's Pizza Bistro,LMG0zsAkUSscIvmV9vvm3A,"7215 E Shea Blvd,Scottsdale, AZ 85260",4,212,"Pizza,Restaurants"
"
",,,,,
